month,day,hour,temp_out_c,solar_rad_w_m2,rh_out_pct
1,1,0,3.0,0.0,68.5
1,1,1,2.75,0.0,69.6
1,1,2,2.78,0.0,68.5
1,1,3,2.92,0.0,67.3
1,1,4,2.15,0.0,69.7
1,1,5,1.97,0.0,69.9
1,1,6,2.19,0.0,69.5
1,1,7,1.95,0.0,69.9
1,1,8,1.77,0.0,70.5
1,1,9,1.39,0.0,71.7
1,1,10,2.38,50.8,69.8
1,1,11,4.6,178.1,64.0
1,1,12,6.6,308.1,57.3
1,1,13,8.1,390.5,53.2
1,1,14,9.14,419.6,50.9
1,1,15,9.8,402.0,48.7
1,1,16,10.0,323.8,48.1
1,1,17,9.08,205.3,56.1
1,1,18,6.92,68.9,60.6
1,1,19,4.89,1.0,68.3
1,1,20,3.98,0.0,71.5
1,1,21,3.99,0.0,71.3
1,1,22,3.67,0.0,72.0
1,1,23,2.99,0.0,73.9
1,2,0,2.38,0.0,74.7
1,2,1,2.49,0.0,73.1
1,2,2,1.87,0.0,74.6
1,2,3,1.47,0.0,76.7
1,2,4,1.37,0.0,76.2
1,2,5,0.92,0.0,76.9
1,2,6,0.51,0.0,78.6
1,2,7,0.36,0.0,79.3
1,2,8,-0.11,0.0,80.3
1,2,9,0.05,0.0,78.8
1,2,10,1.44,49.8,75.1
1,2,11,4.09,176.0,68.1
1,2,12,6.35,293.5,59.2
1,2,13,8.01,375.1,54.5
1,2,14,9.31,416.2,51.3
1,2,15,9.94,394.2,52.1
1,2,16,10.34,313.4,51.8
1,2,17,9.16,193.7,61.9
1,2,18,7.02,64.2,67.9
1,2,19,5.48,1.0,71.6
1,2,20,5.24,0.0,72.3
1,2,21,5.01,0.0,72.8
1,2,22,4.92,0.0,73.5
1,2,23,4.31,0.0,75.7
1,3,0,3.89,0.0,76.9
1,3,1,3.74,0.0,77.4
1,3,2,3.56,0.0,78.4
1,3,3,3.43,0.0,79.0
1,3,4,2.84,0.0,80.2
1,3,5,2.83,0.0,79.4
1,3,6,2.23,0.0,81.3
1,3,7,1.9,0.0,82.8
1,3,8,1.62,0.0,84.4
1,3,9,1.3,0.0,86.2
1,3,10,2.34,38.3,84.0
1,3,11,4.57,132.5,78.8
1,3,12,6.57,228.5,73.1
1,3,13,8.14,294.5,68.2
1,3,14,9.08,313.4,66.2
1,3,15,9.7,304.6,63.1
1,3,16,9.92,248.1,63.7
1,3,17,9.06,168.0,69.9
1,3,18,7.71,56.5,70.7
1,3,19,6.17,0.8,75.4
1,3,20,5.06,0.0,77.7
1,3,21,4.52,0.0,78.4
1,3,22,4.2,0.0,78.6
1,3,23,3.77,0.0,79.6
1,4,0,3.31,0.0,80.1
1,4,1,3.22,0.0,80.1
1,4,2,3.49,0.0,78.7
1,4,3,3.1,0.0,79.9
1,4,4,2.64,0.0,80.3
1,4,5,2.6,0.0,80.2
1,4,6,2.59,0.0,80.4
1,4,7,2.06,0.0,81.3
1,4,8,2.1,0.0,81.3
1,4,9,1.9,0.0,81.1
1,4,10,3.15,38.8,79.1
1,4,11,5.23,136.7,75.1
1,4,12,7.21,218.0,68.1
1,4,13,8.78,301.3,62.6
1,4,14,9.76,314.3,60.2
1,4,15,10.56,298.4,60.2
1,4,16,10.75,237.5,61.1
1,4,17,9.87,136.1,68.8
1,4,18,8.61,48.1,70.0
1,4,19,6.47,0.8,76.0
1,4,20,5.08,0.0,78.7
1,4,21,4.24,0.0,80.0
1,4,22,3.74,0.0,81.2
1,4,23,3.34,0.0,81.7
1,5,0,3.2,0.0,82.0
1,5,1,3.32,0.0,82.5
1,5,2,2.69,0.0,85.5
1,5,3,3.26,0.0,83.4
1,5,4,2.83,0.0,83.7
1,5,5,2.17,0.0,85.5
1,5,6,1.59,0.0,87.5
1,5,7,1.54,0.0,86.8
1,5,8,1.46,0.0,87.1
1,5,9,1.6,0.0,86.5
1,5,10,2.68,41.4,84.6
1,5,11,4.55,144.8,81.8
1,5,12,6.47,250.3,75.0
1,5,13,8.14,330.1,68.1
1,5,14,9.23,367.0,64.6
1,5,15,9.61,351.8,63.2
1,5,16,9.81,275.6,62.9
1,5,17,9.06,169.4,69.3
1,5,18,7.06,59.9,74.1
1,5,19,5.88,0.8,77.7
1,5,20,5.17,0.0,78.4
1,5,21,4.45,0.0,80.5
1,5,22,4.37,0.0,81.0
1,5,23,3.84,0.0,82.4
1,6,0,3.23,0.0,84.3
1,6,1,3.01,0.0,84.6
1,6,2,2.87,0.0,83.8
1,6,3,2.78,0.0,83.0
1,6,4,2.66,0.0,81.5
1,6,5,2.44,0.0,80.8
1,6,6,2.44,0.0,80.6
1,6,7,2.09,0.0,81.0
1,6,8,1.85,0.0,81.5
1,6,9,1.95,0.0,79.9
1,6,10,3.11,38.9,75.4
1,6,11,5.29,151.9,67.4
1,6,12,6.82,253.0,62.9
1,6,13,8.19,333.4,60.1
1,6,14,9.27,372.1,55.8
1,6,15,9.94,350.8,55.3
1,6,16,9.94,282.9,57.4
1,6,17,8.91,183.8,63.7
1,6,18,6.96,67.3,68.1
1,6,19,5.08,1.7,73.4
1,6,20,4.67,0.0,74.5
1,6,21,3.93,0.0,76.0
1,6,22,3.66,0.0,76.2
1,6,23,3.5,0.0,77.2
1,7,0,3.1,0.0,77.7
1,7,1,3.0,0.0,76.9
1,7,2,2.67,0.0,78.1
1,7,3,3.13,0.0,76.9
1,7,4,3.07,0.0,76.9
1,7,5,2.42,0.0,78.6
1,7,6,2.52,0.0,77.6
1,7,7,2.27,0.0,77.3
1,7,8,1.9,0.0,77.9
1,7,9,1.91,0.0,76.5
1,7,10,2.55,43.8,74.6
1,7,11,4.51,153.5,69.8
1,7,12,6.25,264.8,65.0
1,7,13,7.42,358.4,59.3
1,7,14,8.25,396.9,55.5
1,7,15,8.5,354.7,53.8
1,7,16,8.25,274.1,54.8
1,7,17,7.36,177.6,60.0
1,7,18,5.57,61.4,64.0
1,7,19,4.59,1.5,67.2
1,7,20,4.18,0.0,68.2
1,7,21,3.7,0.0,70.3
1,7,22,3.49,0.0,70.7
1,7,23,2.88,0.0,73.5
1,8,0,2.77,0.0,73.1
1,8,1,2.61,0.0,72.6
1,8,2,1.93,0.0,74.4
1,8,3,1.63,0.0,75.2
1,8,4,1.78,0.0,73.9
1,8,5,1.39,0.0,74.8
1,8,6,1.01,0.0,75.5
1,8,7,0.97,0.0,75.5
1,8,8,0.99,0.0,75.3
1,8,9,0.75,0.0,76.2
1,8,10,1.47,48.2,74.7
1,8,11,3.67,167.4,68.1
1,8,12,5.58,281.3,60.7
1,8,13,7.09,361.1,55.9
1,8,14,8.25,395.0,52.8
1,8,15,8.67,377.9,52.4
1,8,16,8.86,299.5,53.3
1,8,17,7.96,195.0,61.8
1,8,18,5.67,75.7,67.2
1,8,19,4.34,2.0,70.4
1,8,20,3.64,0.0,73.0
1,8,21,3.29,0.0,74.1
1,8,22,3.15,0.0,74.2
1,8,23,2.42,0.0,76.3
1,9,0,2.2,0.0,76.8
1,9,1,1.89,0.0,77.0
1,9,2,1.82,0.0,76.7
1,9,3,1.4,0.0,76.7
1,9,4,1.94,0.0,75.6
1,9,5,1.69,0.0,76.8
1,9,6,1.49,0.0,76.3
1,9,7,1.4,0.0,75.6
1,9,8,1.39,0.0,76.2
1,9,9,1.34,0.0,77.0
1,9,10,1.99,33.7,74.8
1,9,11,3.57,124.9,71.3
1,9,12,5.08,220.6,65.5
1,9,13,6.17,286.6,62.1
1,9,14,6.97,300.2,61.2
1,9,15,7.46,312.5,62.3
1,9,16,7.71,246.2,62.2
1,9,17,7.21,160.3,65.5
1,9,18,5.54,57.7,71.3
1,9,19,4.52,1.7,76.1
1,9,20,4.35,0.0,77.0
1,9,21,3.72,0.0,79.4
1,9,22,3.45,0.0,80.3
1,9,23,3.65,0.0,79.8
1,10,0,3.48,0.0,79.5
1,10,1,3.2,0.0,78.6
1,10,2,2.76,0.0,80.3
1,10,3,2.72,0.0,81.7
1,10,4,2.64,0.0,83.4
1,10,5,2.69,0.0,82.1
1,10,6,2.61,0.0,82.2
1,10,7,2.16,0.0,83.6
1,10,8,2.11,0.0,84.3
1,10,9,2.09,0.0,85.5
1,10,10,3.05,27.9,83.7
1,10,11,4.59,98.7,80.0
1,10,12,5.97,165.0,76.4
1,10,13,7.1,216.4,73.6
